vmafdd,,,,,,,,,,
vmware-vmon,,,,,,,,,,
envoy,,,,,,,,,,
envoy-sidecar,,,,,,,,,,
envoy-hgw,,,,,,,,,,
rhttpproxy,vmafdd,,,,,,,,,
vmware-vpostgres,,,,,,,,,,
vtsdb,vmware-vpostgres,,,,,,,,,
vmware-postgres-archiver,vmware-vpostgres,,,,,,,,,
eam,,,,,,,,,,
lookupsvc,rhttpproxy,vmware-vpostgres,,,,,,,,
trustmanagement,lookupsvc,,,,,,,,,
vc-ws1a-broker,rhttpproxy,vmware-vmon,vmware-vpostgres,,,,,,,
sts,lookupsvc,,,,,,,,,
vpxd,lookupsvc,sts,vmware-vpostgres,,,,,,,
sca,lookupsvc,rhttpproxy,sts,,,,,,,
vlcm,lookupsvc,vmware-vpostgres,vpxd,,,,,,,
pschealth,vpxd,,,,,,,,,
cis-license,envoy,lookupsvc,sts,,,,,,,
vapi-endpoint,envoy,lookupsvc,,,,,,,,
vsan-health,vmafdd,vmware-vpostgres,vpxd,,,,,,,
vsm,vpxd,,,,,,,,,
vpxd-svcs,lookupsvc,sts,vmware-vpostgres,,,,,,,
sps,lookupsvc,,,,,,,,,
analytics,envoy,lookupsvc,vmafdd,vpxd,,,,,,
vstats,lookupsvc,vmware-vpostgres,vpxd,vpxd-svcs,vtsdb,,,,,
certificateauthority,lookupsvc,sts,vpxd-svcs,,,,,,,
observability-vapi,lookupsvc,vpxd-svcs,,,,,,,,
certificatemanagement,lookupsvc,sts,vpxd-svcs,,,,,,,
topologysvc,lookupsvc,sts,vpxd-svcs,,,,,,,
wcp,cis-license,eam,envoy-sidecar,lookupsvc,sts,trustmanagement,vapi-endpoint,vmware-vpostgres,vpxd,vpxd-svcs
applmgmt,lookupsvc,statsmonitor,vpxd-svcs,,,,,,,
updatemgr,lookupsvc,sts,vpxd,vpxd-svcs,,,,,,
infraprofile,lookupsvc,vpxd-svcs,,,,,,,,
hvc,certificatemanagement,lookupsvc,sts,trustmanagement,vapi-endpoint,vmonapi,vmware-vpostgres,vpxd-svcs,,
vsphere-ui,envoy,lookupsvc,rhttpproxy,sts,vapi-endpoint,vpxd-svcs,,,,
content-library,rhttpproxy,sca,vapi-endpoint,vmware-vpostgres,vpxd,vpxd-svcs,wcp,,,
perfcharts,sca,vpxd,vsphere-ui,,,,,,,